,Declaration Date,State,County,Start Date,End Date,Close Date,Year
9,07/02/1953,NH,,07/02/1953,07/02/1953,02/01/1956,1953
63,12/29/1956,CA,,12/29/1956,12/29/1956,04/01/1959,1956
103,07/22/1960,ID,,07/22/1960,07/22/1960,09/20/1961,1960
117,11/16/1961,CA,,11/16/1961,11/16/1961,08/01/1963,1961
1001,08/30/1967,ID,Benewah County,08/30/1967,08/30/1967,06/17/1970,1967
1002,08/30/1967,ID,Bonner County,08/30/1967,08/30/1967,06/17/1970,1967
1003,08/30/1967,ID,Boundary County,08/30/1967,08/30/1967,06/17/1970,1967
1004,08/30/1967,ID,Clearwater County,08/30/1967,08/30/1967,06/17/1970,1967
1005,08/30/1967,ID,Idaho County,08/30/1967,08/30/1967,06/17/1970,1967
1006,08/30/1967,ID,Kootenai County,08/30/1967,08/30/1967,06/17/1970,1967
1007,08/30/1967,ID,Latah County,08/30/1967,08/30/1967,06/17/1970,1967
1008,08/30/1967,ID,Lewis County,08/30/1967,08/30/1967,06/17/1970,1967
1009,08/30/1967,ID,Nez Perce County,08/30/1967,08/30/1967,06/17/1970,1967
1010,08/30/1967,ID,Shoshone County,08/30/1967,08/30/1967,06/17/1970,1967
1847,09/29/1970,CA,Alameda County,09/29/1970,09/29/1970,11/12/1976,1970
1848,09/29/1970,CA,Kern County,09/29/1970,09/29/1970,11/12/1976,1970
1849,09/29/1970,CA,Los Angeles County,09/29/1970,09/29/1970,11/12/1976,1970
1850,09/29/1970,CA,San Bernardino County,09/29/1970,09/29/1970,11/12/1976,1970
1851,09/29/1970,CA,San Diego County,09/29/1970,09/29/1970,11/12/1976,1970
1852,09/29/1970,CA,Ventura County,09/29/1970,09/29/1970,11/12/1976,1970
3422,10/16/1973,MA,Suffolk County,10/16/1973,10/16/1973,10/04/1977,1973
4568,12/18/1975,AK,Tanana ANV/ANVSA,12/18/1975,12/18/1975,08/18/1982,1975
5155,01/18/1977,OK,Le Flore County,01/18/1977,01/18/1977,08/09/1979,1977
6704,10/29/1978,CA,Los Angeles County,10/29/1978,10/29/1978,05/27/1986,1978
7427,11/27/1980,CA,Los Angeles County,11/27/1980,11/27/1980,08/23/1991,1980
7428,11/27/1980,CA,Orange County,11/27/1980,11/27/1980,08/23/1991,1980
7429,11/27/1980,CA,Riverside County,11/27/1980,11/27/1980,08/23/1991,1980
7430,11/27/1980,CA,San Bernardino County,11/27/1980,11/27/1980,08/23/1991,1980
7466,09/29/1981,FM,,09/29/1981,09/29/1981,01/16/1987,1981
7482,12/03/1981,MA,"Essex County(in PMSA 1120,4160,7090",12/03/1981,12/03/1981,05/29/1986,1981
7522,04/24/1982,CA,Orange County,04/24/1982,04/24/1982,01/09/1986,1982
8199,07/18/1985,CA,Monterey County,06/26/1985,07/19/1985,10/24/1994,1985
8200,07/18/1985,CA,San Diego County,06/26/1985,07/19/1985,10/24/1994,1985
8201,07/18/1985,CA,San Luis Obispo County,06/26/1985,07/19/1985,10/24/1994,1985
