,declaration_date,state,county,start_date,end_date,close_date,year
0,07/02/1953,NH,,07/02/1953,07/02/1953,02/01/1956,1953
1,12/29/1956,CA,,12/29/1956,12/29/1956,04/01/1959,1956
2,07/22/1960,ID,,07/22/1960,07/22/1960,09/20/1961,1960
3,11/16/1961,CA,,11/16/1961,11/16/1961,08/01/1963,1961
4,08/30/1967,ID,Benewah County,08/30/1967,08/30/1967,06/17/1970,1967
5,08/30/1967,ID,Bonner County,08/30/1967,08/30/1967,06/17/1970,1967
6,08/30/1967,ID,Boundary County,08/30/1967,08/30/1967,06/17/1970,1967
7,08/30/1967,ID,Clearwater County,08/30/1967,08/30/1967,06/17/1970,1967
8,08/30/1967,ID,Idaho County,08/30/1967,08/30/1967,06/17/1970,1967
9,08/30/1967,ID,Kootenai County,08/30/1967,08/30/1967,06/17/1970,1967
10,08/30/1967,ID,Latah County,08/30/1967,08/30/1967,06/17/1970,1967
11,08/30/1967,ID,Lewis County,08/30/1967,08/30/1967,06/17/1970,1967
12,08/30/1967,ID,Nez Perce County,08/30/1967,08/30/1967,06/17/1970,1967
13,08/30/1967,ID,Shoshone County,08/30/1967,08/30/1967,06/17/1970,1967
14,09/29/1970,CA,Alameda County,09/29/1970,09/29/1970,11/12/1976,1970
15,09/29/1970,CA,Kern County,09/29/1970,09/29/1970,11/12/1976,1970
16,09/29/1970,CA,Los Angeles County,09/29/1970,09/29/1970,11/12/1976,1970
17,09/29/1970,CA,San Bernardino County,09/29/1970,09/29/1970,11/12/1976,1970
18,09/29/1970,CA,San Diego County,09/29/1970,09/29/1970,11/12/1976,1970
19,09/29/1970,CA,Ventura County,09/29/1970,09/29/1970,11/12/1976,1970
20,10/16/1973,MA,Suffolk County,10/16/1973,10/16/1973,10/04/1977,1973
21,12/18/1975,AK,Tanana ANV/ANVSA,12/18/1975,12/18/1975,08/18/1982,1975
22,01/18/1977,OK,Le Flore County,01/18/1977,01/18/1977,08/09/1979,1977
23,10/29/1978,CA,Los Angeles County,10/29/1978,10/29/1978,05/27/1986,1978
24,11/27/1980,CA,Los Angeles County,11/27/1980,11/27/1980,08/23/1991,1980
25,11/27/1980,CA,Orange County,11/27/1980,11/27/1980,08/23/1991,1980
26,11/27/1980,CA,Riverside County,11/27/1980,11/27/1980,08/23/1991,1980
27,11/27/1980,CA,San Bernardino County,11/27/1980,11/27/1980,08/23/1991,1980
28,09/29/1981,FM,,09/29/1981,09/29/1981,01/16/1987,1981
29,12/03/1981,MA,"Essex County(in PMSA 1120,4160,7090",12/03/1981,12/03/1981,05/29/1986,1981
30,04/24/1982,CA,Orange County,04/24/1982,04/24/1982,01/09/1986,1982
31,07/18/1985,CA,Monterey County,06/26/1985,07/19/1985,10/24/1994,1985
32,07/18/1985,CA,San Diego County,06/26/1985,07/19/1985,10/24/1994,1985
33,07/18/1985,CA,San Luis Obispo County,06/26/1985,07/19/1985,10/24/1994,1985
34,07/18/1985,CA,Santa Clara County,06/26/1985,07/19/1985,10/24/1994,1985
35,07/18/1985,CA,Santa Cruz County,06/26/1985,07/19/1985,10/24/1994,1985
36,07/18/1985,CA,Ventura County,06/26/1985,07/19/1985,10/24/1994,1985
37,04/27/1987,MH,Majuro County-equivalent,02/24/1987,02/24/1987,11/22/1993,1987
38,03/11/1988,AK,Tanana ANV/ANVSA,02/10/1988,02/10/1988,07/19/1995,1988
39,09/29/1988,CA,Nevada County,09/11/1988,09/24/1988,04/13/1995,1988
40,09/29/1988,CA,Shasta County,09/11/1988,09/24/1988,04/13/1995,1988
41,09/29/1988,CA,Solano County,09/11/1988,09/24/1988,04/13/1995,1988
42,09/29/1988,CA,Yuba County,09/11/1988,09/24/1988,04/13/1995,1988
43,06/30/1990,CA,Los Angeles County,06/26/1990,07/03/1990,07/28/2010,1990
44,06/30/1990,CA,Riverside County,06/26/1990,07/03/1990,07/28/2010,1990
45,06/30/1990,CA,San Bernardino County,06/26/1990,07/03/1990,07/28/2010,1990
46,06/30/1990,CA,Santa Barbara County,06/26/1990,07/03/1990,07/28/2010,1990
47,10/22/1991,CA,Alameda County,10/20/1991,10/29/1991,07/29/2010,1991
48,11/13/1991,WA,Ferry County,10/16/1991,10/24/1991,02/19/1998,1991
49,11/13/1991,WA,Lincoln County,10/16/1991,10/24/1991,02/19/1998,1991
50,11/13/1991,WA,Pend Oreille County,10/16/1991,10/24/1991,02/19/1998,1991
51,11/13/1991,WA,Spokane County,10/16/1991,10/24/1991,02/19/1998,1991
52,11/13/1991,WA,Stevens County,10/16/1991,10/24/1991,02/19/1998,1991
53,11/13/1991,WA,Whitman County,10/16/1991,10/24/1991,02/19/1998,1991
54,05/02/1992,CA,Los Angeles County,04/29/1992,05/28/1992,08/11/2010,1992
55,08/29/1992,CA,Calaveras County,08/16/1992,09/26/1992,10/12/2000,1992
56,08/29/1992,CA,Shasta County,08/16/1992,09/26/1992,10/12/2000,1992
57,10/28/1993,CA,Los Angeles County,10/26/1993,04/22/1994,02/24/2011,1993
58,10/28/1993,CA,Orange County,10/26/1993,04/22/1994,02/24/2011,1993
59,10/28/1993,CA,Riverside County,10/26/1993,04/22/1994,02/24/2011,1993
60,10/28/1993,CA,San Bernardino County,10/26/1993,04/22/1994,02/24/2011,1993
61,10/28/1993,CA,San Diego County,10/26/1993,04/22/1994,02/24/2011,1993
62,10/28/1993,CA,Ventura County,10/26/1993,04/22/1994,02/24/2011,1993
63,02/23/1996,TX,Anderson County,02/23/1996,09/19/1996,03/18/1998,1996
64,02/23/1996,TX,Angelina County,02/23/1996,09/19/1996,03/18/1998,1996
65,02/23/1996,TX,Bastrop County,02/23/1996,09/19/1996,03/18/1998,1996
66,02/23/1996,TX,Bell County,02/23/1996,09/19/1996,03/18/1998,1996
67,02/23/1996,TX,Bexar County,02/23/1996,09/19/1996,03/18/1998,1996
68,02/23/1996,TX,Bowie County,02/23/1996,09/19/1996,03/18/1998,1996
69,02/23/1996,TX,Brown County,02/23/1996,09/19/1996,03/18/1998,1996
70,02/23/1996,TX,Camp County,02/23/1996,09/19/1996,03/18/1998,1996
71,02/23/1996,TX,Cass County,02/23/1996,09/19/1996,03/18/1998,1996
72,02/23/1996,TX,Cherokee County,02/23/1996,09/19/1996,03/18/1998,1996
73,02/23/1996,TX,Childress County,02/23/1996,09/19/1996,03/18/1998,1996
74,02/23/1996,TX,Coryell County,02/23/1996,09/19/1996,03/18/1998,1996
75,02/23/1996,TX,Cottle County,02/23/1996,09/19/1996,03/18/1998,1996
76,02/23/1996,TX,Dallas County,02/23/1996,09/19/1996,03/18/1998,1996
77,02/23/1996,TX,Denton County,02/23/1996,09/19/1996,03/18/1998,1996
78,02/23/1996,TX,Fayette County,02/23/1996,09/19/1996,03/18/1998,1996
79,02/23/1996,TX,Gregg County,02/23/1996,09/19/1996,03/18/1998,1996
80,02/23/1996,TX,Hardeman County,02/23/1996,09/19/1996,03/18/1998,1996
81,02/23/1996,TX,Hardin County,02/23/1996,09/19/1996,03/18/1998,1996
82,02/23/1996,TX,Harrison County,02/23/1996,09/19/1996,03/18/1998,1996
83,02/23/1996,TX,Houston County,02/23/1996,09/19/1996,03/18/1998,1996
84,02/23/1996,TX,Jasper County,02/23/1996,09/19/1996,03/18/1998,1996
85,02/23/1996,TX,King County,02/23/1996,09/19/1996,03/18/1998,1996
86,02/23/1996,TX,Liberty County,02/23/1996,09/19/1996,03/18/1998,1996
87,02/23/1996,TX,McLennan County,02/23/1996,09/19/1996,03/18/1998,1996
88,02/23/1996,TX,Marion County,02/23/1996,09/19/1996,03/18/1998,1996
89,02/23/1996,TX,Montgomery County,02/23/1996,09/19/1996,03/18/1998,1996
90,02/23/1996,TX,Nacogdoches County,02/23/1996,09/19/1996,03/18/1998,1996
91,02/23/1996,TX,Newton County,02/23/1996,09/19/1996,03/18/1998,1996
92,02/23/1996,TX,Palo Pinto County,02/23/1996,09/19/1996,03/18/1998,1996
93,02/23/1996,TX,Panola County,02/23/1996,09/19/1996,03/18/1998,1996
94,02/23/1996,TX,Parker County,02/23/1996,09/19/1996,03/18/1998,1996
95,02/23/1996,TX,Polk County,02/23/1996,09/19/1996,03/18/1998,1996
96,02/23/1996,TX,Rusk County,02/23/1996,09/19/1996,03/18/1998,1996
97,02/23/1996,TX,Sabine County,02/23/1996,09/19/1996,03/18/1998,1996
98,02/23/1996,TX,San Augustine County,02/23/1996,09/19/1996,03/18/1998,1996
99,02/23/1996,TX,San Saba County,02/23/1996,09/19/1996,03/18/1998,1996
100,02/23/1996,TX,Shelby County,02/23/1996,09/19/1996,03/18/1998,1996
101,02/23/1996,TX,Smith County,02/23/1996,09/19/1996,03/18/1998,1996
102,02/23/1996,TX,Tarrant County,02/23/1996,09/19/1996,03/18/1998,1996
103,02/23/1996,TX,Taylor County,02/23/1996,09/19/1996,03/18/1998,1996
