,Year,total_wildfire_cost,total_wildfire
0,1911,,1
1,1918,100000000.0,1
2,1922,8000000.0,1
3,1929,,1
4,1939,,1
5,1944,,2
6,1947,30000000.0,1
7,1949,,1
8,1956,,1
9,1965,1000000.0,1
10,1966,,1
11,1967,68500000.0,2
12,1968,1000000.0,3
13,1969,,2
14,1970,100000000.0,3
15,1971,,2
16,1972,,3
17,1973,,3
18,1974,,3
19,1975,,2
20,1976,,1
21,1977,24760000.0,2
22,1978,,3
23,1979,15090000.0,4
24,1980,25975000.0,4
25,1981,,4
26,1982,,3
27,1983,631650000.0,12
28,1984,2000000.0,7
29,1985,128169000.0,13
30,1986,,6
31,1987,210000000.0,8
32,1989,4283200000.0,3
33,1990,1695000000.0,4
34,1991,2593200000.0,8
35,1992,421200000.0,8
36,1993,1000000000.0,2
37,1994,152000000.0,13
38,1995,134500000.0,7
39,1996,1721300000.0,5
40,1997,8309200000.0,16
41,1998,2616208000.0,18
42,1999,490636000.0,22
43,2000,2558913000.0,30
44,2001,90000000.0,14
45,2002,362100000.0,22
46,2003,6095000000.0,14
47,2004,3000000.0,8
48,2005,3850000000.0,13
49,2006,839000000.0,9
50,2007,4597454000.0,18
51,2008,2532000000.0,5
52,2009,1515000000.0,9
53,2010,2070000000.0,7
54,2011,3137000000.0,8
55,2012,1000000000.0,6
56,2013,1072400000.0,10
57,2014,259000000.0,4
58,2015,3439820000.0,12
59,2016,6287000000.0,10
60,2017,1019000000.0,13
61,2018,22745000000.0,10
