id,year
1,1911
2,1912
3,1913
4,1914
5,1915
6,1916
7,1917
8,1918
9,1919
10,1920
11,1921
12,1922
13,1923
14,1924
15,1925
16,1926
17,1927
18,1928
19,1929
20,1930
21,1931
22,1932
23,1933
24,1934
25,1935
26,1936
27,1937
28,1938
29,1939
30,1940
31,1941
32,1942
33,1943
34,1944
35,1945
36,1946
37,1947
38,1948
39,1949
40,1950
41,1951
42,1952
43,1953
44,1954
45,1955
46,1956
47,1957
48,1958
49,1959
50,1960
51,1961
52,1962
53,1963
54,1964
55,1965
56,1966
57,1967
58,1968
59,1969
60,1970
61,1971
62,1972
63,1973
64,1974
65,1975
66,1976
67,1977
68,1978
69,1979
70,1980
71,1981
72,1982
73,1983
74,1984
75,1985
76,1986
77,1987
78,1988
79,1989
80,1990
81,1991
82,1992
83,1993
84,1994
85,1995
86,1996
87,1997
88,1998
89,1999
90,2000
91,2001
92,2002
93,2003
94,2004
95,2005
96,2006
97,2007
98,2008
99,2009
100,2010
101,2011
102,2012
103,2013
104,2014
105,2015
106,2016
107,2017
108,2018
