,Year,Total_cost,Total_Disasters
0,1918,100000000.0,1
1,1922,8000000.0,1
2,1947,30000000.0,1
3,1965,1000000.0,1
4,1967,68500000.0,2
5,1968,1000000.0,3
6,1970,100000000.0,3
7,1977,24760000.0,2
8,1979,15090000.0,4
9,1980,25975000.0,4
10,1983,631650000.0,12
11,1984,2000000.0,7
12,1985,128169000.0,13
13,1987,210000000.0,8
14,1989,4283200000.0,3
15,1990,1695000000.0,4
16,1991,2593200000.0,8
17,1992,421200000.0,8
18,1993,1000000000.0,2
19,1994,152000000.0,13
20,1995,134500000.0,7
21,1996,1721300000.0,5
22,1997,8309200000.0,16
23,1998,2616208000.0,18
24,1999,490636000.0,22
25,2000,2558913000.0,30
26,2001,90000000.0,14
27,2002,362100000.0,22
28,2003,6095000000.0,14
29,2004,3000000.0,8
30,2005,3850000000.0,13
31,2006,839000000.0,9
32,2007,4597454000.0,18
33,2008,2532000000.0,5
34,2009,1515000000.0,9
35,2010,2070000000.0,7
36,2011,3137000000.0,8
37,2012,1000000000.0,6
38,2013,1072400000.0,10
39,2014,259000000.0,4
40,2015,3439820000.0,12
41,2016,6287000000.0,10
42,2017,1019000000.0,13
43,2018,22745000000.0,10
44,1911,,1
45,1929,,1
46,1939,,1
47,1944,,2
48,1949,,1
49,1956,,1
50,1966,,1
51,1969,,2
52,1971,,2
53,1972,,3
54,1973,,3
55,1974,,3
56,1975,,2
57,1976,,1
58,1978,,3
59,1981,,4
60,1982,,3
61,1986,,6
